id,original_language,popularity,release_date,title,vote_average,vote_count
45752,en,19.962,14-09-2010,Scooby-Doo! Camp Scare,8,232
28178,en,37.382,08-06-2009,Hachi: A Dog's Tale,8,5867
12104,en,16.3,14-07-1982,Pink Floyd: The Wall,8,1238
488623,ko,22.483,29-11-2017,Forgotten,8,733
140420,en,9.671,02-11-2012,Paperman,8,1537
438695,en,165.326,01-12-2021,Sing 2,8,3294
23282,en,5.52,29-08-1920,One Week,8,203
13223,en,25.442,09-12-2008,Gran Torino,8,9389
3175,en,15.616,26-11-1975,Barry Lyndon,8,2327
1059,ja,11.792,28-12-1958,The Hidden Fortress,8,471
2517,ja,24.372,07-08-2004,Nobody Knows,8,380
11658,ko,19.564,05-02-2004,Tae Guk Gi: The Brotherhood of War,8,559
38360,ru,9.79,12-10-1957,The Cranes Are Flying,8,265
770,en,27.615,15-12-1939,Gone with the Wind,8,3418
25376,es,17.113,13-08-2009,The Secret in Their Eyes,8,2111
213,en,20.858,08-07-1959,North by Northwest,8,3405
237791,pt,11.656,28-03-2014,The Way He Looks,8,848
94047,ko,16.279,21-12-2011,My Way,8,303
698948,en,44.461,18-07-2022,Thirteen Lives,8,804
7508,hi,12.834,21-12-2007,Like Stars on Earth,8,905
18438,ko,12.822,14-05-2009,Castaway on the Moon,8,556
654,en,15.919,22-06-1954,On the Waterfront,8,1260
142061,en,21.282,03-01-2013,"Batman: The Dark Knight Returns, Part 2",8,1201
29264,es,10.126,16-05-1962,The Exterminating Angel,8,539
15244,fr,13.717,11-11-1956,A Man Escaped,8,401
501929,en,29.96,22-04-2021,The Mitchells vs. the Machines,8,2211
530915,en,36.479,25-12-2019,1917,8,10419
1578,en,17.356,14-11-1980,Raging Bull,8,3532
1092,en,14.875,31-08-1949,The Third Man,8,1463
947,en,21.295,11-12-1962,Lawrence of Arabia,8,2434
242828,ja,26.237,19-07-2014,When Marnie Was There,8,1486
10238,sv,11.331,21-12-1972,Cries and Whispers,8,566
315620,en,10.979,25-12-2010,Doctor Who: A Christmas Carol,8,200
158445,ko,16.354,23-01-2013,Miracle in Cell No. 7,8,359
632322,en,19.669,23-10-2020,All My Life,8,394
10404,zh,17.701,18-12-1991,Raise the Red Lantern,8,565
1580,en,12.346,11-03-1948,Rope,8,2178
405,it,9.9,23-09-1954,La Strada,8,852
610150,ja,406.28,11-06-2022,Dragon Ball Super: Super Hero,8,2055
11712,ja,11.525,01-01-1962,Sanjuro,8,467
24,en,40.335,10-10-2003,Kill Bill: Vol. 1,8,15198
627,en,23.037,23-02-1996,Trainspotting,8,8488
20875,ru,12.163,16-08-1965,Operation Y and Other Shurik's Adventures,8,221
20453,hi,30.191,23-12-2009,3 Idiots,8,1948
234,de,17.367,27-02-1920,The Cabinet of Dr. Caligari,8,1203
667520,ja,67.473,18-06-2020,A Whisker Away,8,1092
360814,hi,13.166,21-12-2016,Dangal,8,760
10515,ja,31.516,02-08-1986,Castle in the Sky,8,3379
862,en,102.384,30-10-1995,Toy Story,8,16060
801335,en,68.011,27-02-2021,Girl in the Basement,8,439
458302,fr,9.804,12-12-2018,"Remi, Nobody's Boy",8,354
70,en,28.793,15-12-2004,Million Dollar Baby,8,8298
38286,it,6.609,27-12-1997,Three Men and a Leg,8,1886
149,ja,35.69,16-07-1988,Akira,8,3331
76,en,15.071,27-01-1995,Before Sunrise,8,3355
